user_id,fmps_cmd,fmps_ps,fmps_pepc,fmps_or,fmps_tot
3385930632,46,17,18,21,102
3467474349,38,19,19,23,99
3668615349,22,17,12,24,75
3493200977,31,18,8,21,78
3779569933,26,16,13,28,83
3887744678,42,20,23,24,109
3383928947,37,18,15,25,95
3472369691,57,21,25,12,115
3663995281,54,25,28,20,127
3313450012,36,17,15,24,92
3349104292,24,20,20,22,86
3895555996,39,25,18,17,99
3883816051,44,26,20,25,115
3477588121,23,9,22,17,71
3421018235,53,25,16,24,118
3280004109,30,19,13,27,89
3289189898,41,19,19,25,104
3428948629,37,17,12,17,83
3458886355,46,21,17,22,106
3881466599,61,25,15,22,123
3463723465,58,27,23,24,132
3342410340,42,20,14,23,99
3808941373,37,18,15,21,91
3314389060,25,12,12,21,70
3494236417,48,21,24,22,115
3336861167,41,27,20,26,114
3339582765,37,21,11,23,92
3391467959,49,26,27,25,127
3891217212,27,12,17,25,81
3505065648,39,17,14,20,90
3921884140,31,17,18,19,85
3483400286,40,17,19,25,101
3313233935,25,21,12,24,82
3664300311,34,15,12,22,83
3347443867,47,20,11,27,105
3247822380,59,30,36,22,147
3319425650,56,27,11,24,118
3465959424,26,16,9,22,73
3459372766,49,27,17,27,120
3334364444,49,21,24,18,112
3423734900,55,26,15,20,116
3386008212,48,17,18,18,101
3487202110,44,19,18,25,106
3891205133,56,29,26,30,141
3921625402,48,26,17,19,110
3450660188,34,16,12,24,86
3405320767,38,16,16,16,86
34601046526,49,23,18,22,112
3285486203,37,20,18,24,99
3382353432,42,21,25,30,118
3398621330,49,26,14,19,108
3347076857,37,24,24,27,112
3493865607,39,16,14,10,79
3420547059,66,26,39,25,156
3339880271,39,23,10,30,102
3337222747,64,17,15,17,113
3896211241,23,13,11,19,66
3667000898,45,18,19,24,106
3391627654,39,16,17,21,93
3406882472,30,24,10,17,81
3338029881,51,24,27,28,130
3931636103,35,18,17,19,89
3426549445,58,28,30,24,140
3463775011,31,19,15,27,92
3807607123,50,22,25,22,119
3927302099,46,21,28,23,118
3771015565,52,34,22,30,138
3497824506,49,16,26,18,109
3279312977,42,23,20,28,113
3388996332,33,13,15,16,77
3272161067,53,17,21,21,112
3316198240,38,27,18,24,107
3358378894,43,17,19,22,101
3382881255,48,23,15,22,108
3453934331,46,26,21,21,114
3208693225,57,26,16,19,118
3703403724,39,19,13,22,93
3470115511,52,22,22,18,114
3401031360,47,24,16,24,111
3661166007,50,27,20,24,121
3920921922,32,12,8,17,69
3335443937,48,15,18,15,96
3312571418,52,34,35,30,151
4389943231,40,17,19,24,100
3492366988,53,26,21,17,117
3382161024,63,31,34,27,155
3347892623,41,30,30,8,109
3427335142,25,18,15,29,87
3421843835,35,18,18,24,95
3802426721,63,25,24,20,132
3451263546,36,16,18,23,93
3911072456,32,12,19,20,83
3274685227,52,25,14,15,106
3913468055,48,21,22,30,121
3426894007,43,18,16,25,102
3317606566,64,30,27,21,142
3459300091,49,27,28,27,131
3396144039,31,13,18,25,87
3662879175,22,22,10,30,84
3318419640,47,30,25,25,127
3387752052,49,28,26,26,129
3716383664,44,22,10,20,96
3396105812,37,17,12,24,90
3479146532,38,12,20,6,76
3703103013,49,15,20,15,99
3349010634,51,31,25,30,137
3661375646,44,26,23,30,123
3401961300,34,15,23,22,94
3283564346,55,19,20,14,108
3483232737,49,28,23,22,122
3772765464,42,25,19,30,116
3456115892,48,23,18,27,116
3428976733,55,21,23,19,118
3394466675,50,23,18,16,107
3311032316,50,18,23,13,104
3478294460,48,30,28,22,128
3395963552,55,28,31,24,138
3333672280,61,22,27,16,126
3664548042,43,23,15,28,109
3282753348,34,19,15,20,88
3420200692,57,24,31,18,130
3397350077,28,16,9,18,71
3483195353,62,28,29,26,145
3336930797,57,25,13,27,122
3317545421,25,23,19,18,85
3467559184,47,28,21,16,112
3342177251,51,25,27,26,129
3334971564,46,17,14,23,100
3311919255,41,23,19,29,112
3489927284,51,33,21,25,130
3458983574,33,24,20,26,103
3337487200,24,20,8,29,81
3892305104,55,24,23,27,129
3341420106,52,23,22,25,122
3497763400,35,14,10,17,76
33783670400,39,13,16,22,90
3925461159,67,32,35,29,163
3401662999,53,20,12,25,110
3403943604,39,27,17,30,113
3806950650,38,20,15,21,94
3883746006,52,28,37,30,147
3473918493,47,28,18,23,116
3485956383,36,16,15,22,89
3401270582,30,20,15,23,88
3478840406,46,25,26,22,119
3920224683,51,24,12,20,107
3318067046,36,11,11,22,80
3387517461,36,30,13,27,106
3667272818,42,21,12,22,97
3339796982,48,19,27,21,115
3774219750,42,24,17,29,112
3402664341,57,22,12,27,118
3343693017,48,23,13,30,114
3427812776,44,24,22,25,115
3311514507,53,19,28,19,119
3663707404,42,21,15,22,100
3347117521,41,26,20,24,111
3314994466,45,26,20,20,111
3334542104,48,16,9,21,94
3452198846,32,18,15,21,86
3384230549,39,17,17,19,92
3935500366,34,25,15,22,96
3664904129,55,31,26,25,137
3333087407,32,19,17,23,91
3388833022,47,22,25,21,115
3486981778,43,21,21,27,112
3313224759,58,25,28,9,120
