user_id,fmps_cmd,fmps_ps,fmps_pepc,fmps_or,fmps_tot
3334247770,40,26,17,28,111
3294886377,49,27,18,27,121
3487119790,52,27,20,24,123
3346121179,55,30,30,16,131
3703107268,47,25,21,22,115
3208909600,42,23,23,28,116
3317719173,42,8,17,22,89
3920062595,42,21,17,23,103
3337769377,55,23,20,25,123
3278582193,50,21,30,23,124
3703293103,40,26,14,22,102
3331208683,49,24,17,23,113
3444258212,24,16,11,21,72
3890065938,60,24,32,27,143
3469730627,44,25,20,22,111
3311128391,28,21,10,24,83
3270624644,45,19,23,22,109
3280632529,42,19,23,24,108
3313382094,56,30,20,23,129
3460591283,55,26,26,30,137
3809075395,45,23,23,23,114
3332440775,35,18,12,24,89
3398964382,23,17,14,26,80
3348106800,36,14,9,30,89
3469464166,45,22,23,17,107
3392465292,50,23,26,15,114
3335607912,54,20,22,24,120
3669301160,41,23,11,30,105
3314455802,38,24,18,24,104
3336846971,44,20,16,20,100
3296113480,47,21,26,22,116
3921981520,51,23,26,26,126
3334741408,35,19,25,11,90
3665355105,36,24,11,30,101
3420798804,48,20,31,25,124
3383061603,33,25,19,30,107
3662125608,41,27,22,24,114
3392736399,41,16,20,15,92
3493224825,30,26,19,25,100
3246292649,58,23,22,22,125
3665244090,50,16,21,21,108
3389126365,60,16,34,19,129
3938867612,51,19,14,24,108
3407230127,60,29,18,25,132
3895730674,53,24,28,21,126
3663738920,58,31,21,18,128
3888185906,45,25,15,24,109
3395927320,35,17,15,21,88
3491070201,29,19,15,26,89
3334297641,36,20,15,29,100
3925598264,49,22,19,25,115
3331478533,64,25,19,20,128
3888281971,47,21,18,19,105
3421895411,28,27,11,27,93
3467014707,63,26,17,22,128
3277379787,43,22,22,24,111
3920884364,39,23,18,18,98
3662258943,48,29,20,29,126
3311506647,45,19,19,23,106
3928102467,35,18,18,24,95
3348921243,30,20,18,22,90
3423315515,39,30,19,15,103
3475648095,50,24,28,24,126
3318207859,38,17,15,25,95
3394341908,31,22,29,19,101
3490815665,39,22,16,23,100
3271273161,38,25,14,30,107
3493727344,38,22,16,26,102
3492432569,53,21,27,14,115
3311815277,68,29,39,25,161
3662895706,51,17,31,18,117
3669722811,49,21,17,27,114
3806823362,41,25,29,26,121
3703258744,42,24,21,30,117
