user_id,fmps_1,fmps_2,fmps_3,fmps_4,fmps_5,fmps_6,fmps_7,fmps_8,fmps_9,fmps_10,fmps_11,fmps_12,fmps_13,fmps_14,fmps_15,fmps_16,fmps_17,fmps_18,fmps_19,fmps_20,fmps_21,fmps_22,fmps_23,fmps_24,fmps_25,fmps_26,fmps_27,fmps_28,fmps_29,fmps_30,fmps_31,fmps_32,fmps_33,fmps_34,fmps_35
3334247770,4,4,1,3,1,5,5,5,5,4,2,4,1,4,1,4,3,5,5,1,4,3,1,1,2,5,5,2,4,1,5,2,4,2,3
3294886377,3,5,3,4,1,4,4,5,5,4,3,4,2,3,1,4,4,5,4,3,4,2,3,4,2,3,4,4,4,4,5,2,4,3,2
3487119790,3,4,3,4,2,4,4,4,4,4,2,4,3,4,3,4,3,4,4,3,4,3,4,4,4,2,4,4,4,4,4,2,4,4,2
3346121179,4,3,4,4,4,5,2,3,3,4,3,4,4,4,3,5,4,5,4,4,4,4,4,4,4,4,3,4,3,4,2,3,4,4,4
3703107268,4,4,2,5,2,3,2,5,4,5,2,3,3,2,2,3,4,3,3,3,4,3,4,4,3,3,4,2,3,4,4,2,4,3,4
3208909600,4,5,3,4,2,4,4,5,3,4,2,2,1,1,3,3,4,4,3,3,2,4,4,4,2,4,5,3,4,3,5,2,4,4,2
3317719173,1,4,4,1,4,2,3,5,5,4,1,1,3,4,2,1,4,3,1,1,1,1,1,1,2,3,4,4,4,1,2,4,4,2,1
3920062595,3,4,3,2,2,4,4,4,2,4,2,2,2,1,2,4,4,4,4,2,4,2,4,4,2,2,4,2,3,2,4,2,4,3,2
3337769377,3,4,4,3,3,4,4,5,3,5,2,2,3,2,2,4,5,5,3,2,4,3,4,4,3,2,4,5,4,4,4,3,4,5,2
3278582193,4,4,4,2,3,4,2,5,4,4,2,2,2,4,5,4,3,4,2,2,4,5,2,4,3,4,5,4,3,3,4,3,5,4,5
3703293103,4,5,2,2,1,3,2,4,5,4,1,4,2,2,1,5,2,3,4,2,2,2,2,4,2,3,4,4,2,4,5,4,2,2,2
3331208683,2,4,2,2,1,4,4,4,2,4,2,4,4,2,2,4,4,4,4,4,4,2,4,4,3,2,4,4,3,4,4,4,3,3,2
3444258212,1,3,2,1,1,2,3,4,1,2,1,4,1,1,1,3,1,1,2,1,1,1,1,3,1,2,4,3,4,3,3,2,4,2,2
3890065938,4,4,4,3,3,4,4,4,5,5,4,3,4,4,3,4,4,5,3,4,5,5,4,4,3,5,5,5,5,3,5,4,4,4,4
3469730627,3,4,3,3,2,5,2,4,2,4,2,3,3,2,2,4,3,4,3,3,4,3,4,4,4,3,4,2,4,4,4,2,2,4,2
3311128391,3,4,1,2,2,4,4,4,2,3,1,3,1,1,1,4,2,3,2,2,2,1,1,4,1,1,4,1,4,3,4,2,4,1,1
3270624644,3,4,4,2,3,3,3,4,3,4,4,2,3,4,3,4,4,4,2,2,2,2,4,4,1,3,4,3,3,3,4,3,4,2,2
3280632529,4,4,3,2,4,4,4,4,4,4,2,2,2,3,1,2,3,4,3,1,2,4,2,3,2,4,4,3,4,2,4,3,4,3,4
3313382094,4,4,2,4,3,4,2,5,4,4,3,5,4,2,2,5,2,4,4,2,4,4,4,5,4,2,3,5,4,4,5,5,5,4,2
3460591283,4,5,3,3,4,3,5,5,3,4,3,4,4,4,3,4,4,4,4,2,4,4,4,4,4,2,5,5,5,4,5,4,4,3,5
3809075395,3,4,3,4,4,3,4,4,2,3,3,4,3,2,4,3,5,4,2,3,3,2,2,4,2,2,4,4,3,4,4,3,4,4,2
3332440775,3,4,2,3,2,2,4,4,3,3,1,2,3,3,2,3,2,3,2,1,1,1,2,2,1,1,4,2,3,3,5,4,3,3,2
3398964382,2,4,2,2,2,3,4,4,1,2,1,1,1,1,2,4,1,1,3,1,2,2,2,2,2,2,4,2,5,2,5,2,2,2,2
3348106800,1,5,2,1,1,2,5,5,4,4,1,2,2,2,1,4,2,4,2,1,2,1,3,4,2,1,5,1,5,2,5,2,2,2,1
3469464166,4,3,3,3,2,3,2,4,4,4,4,4,4,3,2,3,3,4,2,2,2,2,2,4,2,5,4,2,2,3,2,4,4,3,3
3392465292,4,3,4,3,4,4,2,4,4,4,2,2,3,4,2,4,4,4,4,3,4,3,4,2,3,5,2,2,2,2,2,4,4,4,3
3335607912,4,4,3,2,3,4,4,4,5,5,3,2,4,4,2,2,4,4,2,2,4,3,4,2,3,3,4,4,4,4,4,3,4,4,3
3669301160,3,5,2,3,1,4,5,5,4,4,1,3,3,2,1,4,2,4,3,2,2,1,4,5,4,2,5,2,5,3,5,1,2,2,1
3314455802,3,4,4,4,1,4,4,4,4,3,2,3,1,4,2,4,3,4,3,1,2,3,4,3,2,3,4,2,4,3,4,2,2,2,2
3336846971,3,4,2,2,2,4,3,3,2,4,2,2,2,2,2,3,3,4,2,2,3,2,4,4,2,2,4,3,4,4,2,4,4,3,2
3296113480,4,4,2,1,3,4,4,4,3,5,4,3,1,4,3,3,3,5,3,4,4,3,3,2,3,4,4,2,3,3,3,4,4,4,3
3921981520,3,5,3,3,5,4,4,5,3,4,3,3,4,4,3,4,4,4,3,3,2,3,4,3,3,3,4,4,4,3,4,4,4,4,3
3334741408,4,2,3,2,3,3,1,3,2,3,3,2,1,2,2,3,3,3,2,3,4,3,1,3,2,4,2,2,1,3,2,2,3,4,4
3665355105,3,5,2,4,1,4,5,5,3,4,2,2,2,2,1,4,4,4,3,1,2,1,2,4,1,1,5,3,5,4,5,2,1,2,2
3420798804,5,5,5,2,3,3,4,4,5,4,4,2,2,4,4,2,5,4,3,4,2,4,2,5,2,4,4,4,4,3,4,2,4,3,3
3383061603,3,5,4,3,2,4,5,5,2,4,3,4,2,2,1,4,2,3,4,4,2,1,2,3,2,1,5,2,5,3,5,2,3,2,3
3662125608,4,5,2,1,1,4,2,5,4,5,2,4,1,4,4,5,4,5,4,4,2,2,3,4,1,5,3,1,4,5,5,2,3,2,2
3392736399,2,3,2,1,3,1,1,3,2,2,2,2,3,3,3,4,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,4,4,3,3
3493224825,3,5,3,4,1,5,4,4,1,4,3,3,2,1,1,5,4,4,3,3,1,3,1,3,1,2,4,3,4,3,4,1,1,3,3
3246292649,3,4,2,3,3,2,3,4,5,5,2,3,4,5,1,5,5,5,4,2,5,4,4,3,2,4,4,5,4,3,3,3,4,3,4
3665244090,2,4,4,3,5,2,2,5,5,4,2,2,4,2,2,1,2,3,4,1,3,3,4,4,3,2,4,4,2,2,4,4,4,4,2
3389126365,2,4,5,2,4,2,2,4,4,5,5,2,5,5,3,2,5,5,4,3,5,5,5,2,2,5,2,5,3,2,4,2,5,5,4
3938867612,2,4,2,4,1,2,4,4,5,4,2,2,4,4,3,4,4,3,2,1,3,1,4,3,4,2,4,3,4,3,4,2,4,4,2
3407230127,3,5,4,3,1,5,3,5,5,5,3,4,4,4,1,5,5,5,4,4,4,1,4,4,4,3,4,3,3,5,5,4,4,5,1
3895730674,3,4,3,4,3,3,3,3,4,4,4,3,4,4,3,3,3,5,4,4,3,3,4,3,3,4,4,4,4,4,3,4,4,4,4
