user_id,ius_1,ius_2,ius_3,ius_4,ius_5,ius_6,ius_7,ius_8,ius_9,ius_10,ius_11,ius_12
3334247770,2,2,1,4,3,3,3,4,1,1,1,1
3294886377,4,3,5,5,5,5,5,4,5,5,5,2
3487119790,4,4,4,4,5,5,5,4,4,4,4,4
3346121179,2,3,4,4,4,3,4,3,2,2,2,3
3703107268,3,4,2,1,2,3,4,2,2,3,2,1
3208909600,4,3,1,2,4,4,1,2,4,3,2,1
3317719173,1,2,1,2,2,2,1,2,2,1,2,1
3920062595,2,4,1,1,2,2,1,1,1,1,1,1
3337769377,4,4,5,4,3,3,4,2,1,2,1,1
3278582193,4,3,2,4,2,3,3,4,2,3,4,3
3703293103,4,4,2,1,1,3,2,3,1,1,1,1
3331208683,2,1,1,4,2,2,1,1,1,2,1,1
3444258212,1,1,4,2,1,2,1,3,2,1,2,1
3890065938,5,4,3,4,4,5,5,5,4,5,5,1
3469730627,2,2,4,3,3,2,5,2,1,2,1,1
3311128391,2,2,2,3,2,3,3,2,1,2,1,1
3270624644,4,3,4,4,3,3,3,3,1,2,1,1
3280632529,3,3,4,3,3,4,3,4,2,3,2,1
3313382094,4,3,5,3,4,4,4,5,4,4,3,2
3460591283,4,3,4,4,4,3,4,4,2,3,3,2
3809075395,3,1,2,1,3,3,4,4,5,3,4,3
3332440775,2,3,3,4,2,4,3,4,3,3,4,3
3398964382,1,4,2,3,1,4,1,1,1,1,1,1
3348106800,3,4,1,5,3,4,4,3,1,2,1,2
3469464166,2,3,1,2,2,2,1,3,2,2,2,2
3392465292,3,2,2,2,3,2,2,3,1,2,2,1
3335607912,3,2,4,3,2,2,4,2,2,3,3,2
3669301160,2,2,1,1,2,2,2,1,1,1,1,1
3314455802,4,3,2,2,2,3,3,1,1,1,1,1
3336846971,1,1,2,2,1,1,3,3,3,3,2,1
3296113480,2,2,2,1,2,2,2,3,2,2,2,1
3921981520,3,3,3,3,2,2,2,2,3,3,3,2
3334741408,2,2,2,1,2,2,1,2,1,3,2,2
