user_id,inhibitory_iu,prospective_iu,ius_tot
3334247770,8,18,26
3294886377,21,32,53
3487119790,20,31,51
3346121179,12,24,36
3703107268,10,19,29
3208909600,12,19,31
3317719173,8,11,19
3920062595,5,13,18
3337769377,7,27,34
3278582193,16,21,37
3703293103,7,17,24
3331208683,6,13,19
3444258212,9,12,21
3890065938,20,30,50
3469730627,7,21,28
3311128391,7,17,24
3270624644,8,24,32
3280632529,12,23,35
3313382094,18,27,45
3460591283,14,26,40
3809075395,19,17,36
3332440775,17,21,38
3398964382,5,16,21
3348106800,9,24,33
3469464166,11,13,24
3392465292,9,16,25
3335607912,12,20,32
3669301160,5,12,17
3314455802,5,19,24
3336846971,12,11,23
3296113480,10,13,23
3921981520,13,18,31
3334741408,10,12,22
3665355105,8,20,28
3420798804,11,17,28
3383061603,6,9,15
3662125608,7,24,31
3392736399,9,15,24
3493224825,6,15,21
3246292649,23,34,57
3665244090,14,17,31
3389126365,23,34,57
3938867612,19,31,50
3407230127,5,18,23
3895730674,17,27,44
3663738920,19,32,51
3888185906,9,12,21
3395927320,7,16,23
3491070201,6,20,26
3334297641,7,16,23
3925598264,9,25,34
3331478533,16,13,29
3888281971,14,20,34
3421895411,5,12,17
3467014707,19,29,48
3277379787,11,16,27
3920884364,12,17,29
3662258943,7,19,26
3311506647,7,12,19
3928102467,13,23,36
3348921243,5,9,14
3423315515,7,10,17
3475648095,18,26,44
3318207859,17,26,43
3394341908,7,25,32
3490815665,6,13,19
3271273161,10,19,29
3493727344,6,9,15
3492432569,17,26,43
3311815277,18,34,52
3662895706,23,29,52
3669722811,9,24,33
3806823362,9,15,24
3703258744,7,23,30
3385930632,11,18,29
3467474349,11,23,34
3668615349,5,12,17
3493200977,5,10,15
3779569933,7,14,21
3887744678,14,16,30
3383928947,5,18,23
3472369691,17,23,40
3663995281,10,16,26
3313450012,7,14,21
3349104292,6,10,16
3895555996,6,16,22
3883816051,19,29,48
3477588121,18,18,36
3421018235,9,26,35
3280004109,9,17,26
3289189898,12,10,22
3428948629,7,26,33
3458886355,17,17,34
3881466599,22,27,49
3463723465,21,30,51
3342410340,12,23,35
3808941373,11,14,25
3314389060,5,10,15
3494236417,9,24,33
3336861167,13,25,38
3339582765,14,21,35
3391467959,17,19,36
3891217212,12,22,34
3505065648,10,15,25
3921884140,6,13,19
3483400286,13,24,37
3313233935,7,16,23
3664300311,17,22,39
3347443867,12,25,37
3247822380,13,27,40
3319425650,20,22,42
3465959424,5,7,12
3459372766,14,20,34
3334364444,19,22,41
3423734900,19,27,46
3386008212,15,14,29
3487202110,13,20,33
3891205133,16,22,38
3921625402,12,21,33
3450660188,5,12,17
3405320767,10,24,34
34601046526,14,21,35
3285486203,7,14,21
3382353432,9,18,27
3398621330,15,25,40
3347076857,10,14,24
3493865607,6,9,15
3420547059,22,29,51
3339880271,5,10,15
3337222747,25,35,60
3896211241,5,14,19
3667000898,11,19,30
3391627654,8,17,25
3406882472,7,16,23
3338029881,16,27,43
3931636103,7,16,23
3426549445,13,16,29
3463775011,9,15,24
3807607123,9,25,34
3927302099,17,17,34
3771015565,12,26,38
3497824506,14,24,38
3279312977,9,20,29
3388996332,10,14,24
3272161067,16,27,43
3316198240,5,16,21
3358378894,12,16,28
3382881255,12,25,37
3453934331,5,17,22
3208693225,10,11,21
3703403724,12,13,25
3470115511,21,26,47
3401031360,16,21,37
3661166007,14,24,38
3920921922,10,12,22
3335443937,18,19,37
3312571418,22,33,55
4389943231,11,22,33
3492366988,14,16,30
3382161024,10,20,30
3347892623,22,22,44
3427335142,5,15,20
3421843835,5,12,17
3802426721,11,30,41
3451263546,6,12,18
3911072456,10,19,29
3274685227,10,20,30
3913468055,8,20,28
3426894007,11,19,30
3317606566,21,33,54
3459300091,8,22,30
3396144039,6,14,20
3662879175,5,19,24
3318419640,15,25,40
3387752052,15,22,37
3716383664,19,26,45
3396105812,11,15,26
3479146532,7,10,17
3703103013,22,23,45
3349010634,7,31,38
3661375646,5,11,16
3401961300,8,25,33
3283564346,10,16,26
3483232737,13,20,33
3772765464,8,14,22
3456115892,10,29,39
3428976733,12,24,36
3394466675,13,11,24
3311032316,11,15,26
3478294460,10,28,38
3395963552,16,21,37
3333672280,21,26,47
3664548042,8,21,29
3282753348,9,19,28
3420200692,13,17,30
3397350077,7,9,16
3483195353,19,22,41
3336930797,12,24,36
3317545421,5,9,14
3467559184,10,17,27
3342177251,8,13,21
3334971564,14,26,40
3311919255,9,20,29
3489927284,15,26,41
3458983574,9,21,30
3337487200,7,15,22
3892305104,10,18,28
3341420106,17,24,41
3497763400,10,13,23
33783670400,7,13,20
3925461159,24,34,58
3401662999,16,26,42
3403943604,16,21,37
3806950650,7,18,25
3883746006,15,26,41
3473918493,6,24,30
3485956383,9,15,24
3401270582,7,15,22
3478840406,15,20,35
3920224683,16,19,35
3318067046,14,10,24
3387517461,17,18,35
3667272818,10,17,27
3339796982,17,33,50
3774219750,7,25,32
3402664341,7,25,32
3343693017,12,27,39
3427812776,10,25,35
3311514507,17,16,33
3663707404,15,18,33
3347117521,8,13,21
3314994466,12,15,27
3334542104,8,11,19
3452198846,6,11,17
3384230549,6,15,21
3935500366,8,17,25
3664904129,16,27,43
3333087407,7,14,21
3388833022,11,19,30
3486981778,12,17,29
3313224759,24,25,49
